,userId,recommended_movies
0,1,"[117646, 55116, 4956, 4818, 5657, 6990, 4719, 71999, 31367, 380]"
1,2,"[8464, 27899, 5785, 81156, 118198, 32314, 46105, 70687, 27002, 80478]"
2,3,"[60471, 1200, 161918, 1037, 1320, 2364, 2722, 4552, 5219, 8810]"
3,4,"[970, 496, 5666, 4956, 72142, 587, 1912, 3893, 144606, 5416]"
4,5,"[4719, 970, 3390, 27790, 2931, 587, 4956, 5657, 6990, 459]"
5,6,"[4956, 55116, 4719, 117646, 59947, 70728, 4800, 4818, 42015, 6564]"
6,7,"[27032, 8361, 27618, 48774, 58025, 91500, 117529, 187031, 55116, 71999]"
7,8,"[459, 4719, 4956, 55116, 59947, 70728, 970, 5657, 6990, 4800]"
8,9,"[43289, 47384, 1197, 53140, 1884, 33138, 33669, 42004, 46578, 55269]"
9,10,"[4956, 42015, 970, 72142, 31367, 380, 6564, 5657, 6990, 4719]"
10,11,"[2802, 3584, 4438, 8093, 459, 4800, 59947, 70728, 4956, 315]"
11,12,"[4, 52, 58, 94, 195, 224, 232, 281, 351, 359]"
12,13,"[51545, 7235, 43932, 6395, 54771, 74685, 7022, 7360, 8894, 73268]"
13,14,"[2802, 3584, 4438, 8093, 1264, 4800, 459, 59947, 70728, 1094]"
14,15,"[8361, 27618, 58025, 117529, 187031, 52328, 71999, 27032, 1726, 4643]"
15,16,"[97757, 62956, 8426, 99764, 161594, 148775, 47404, 2968, 4980, 52462]"
16,17,"[71999, 164226, 8361, 27618, 48774, 58025, 91500, 117529, 187031, 117646]"
17,18,"[970, 4719, 4956, 5657, 6990, 438, 1112, 4442, 4635, 27695]"
18,19,"[6902, 117646, 55116, 71999, 164226, 4956, 72165, 6564, 31367, 1429]"
19,20,"[56152, 8360, 1064, 631, 6316, 7247, 110781, 106696, 60365, 26999]"
20,21,"[27032, 1429, 2835, 4270, 55116, 380, 6564, 164226, 2483, 5007]"
21,22,"[59947, 70728, 55116, 4956, 459, 4800, 2802, 3584, 4438, 8093]"
22,23,"[81132, 31921, 7235, 198, 1264, 27549, 4210, 2058, 5388, 7445]"
23,24,"[459, 6016, 20, 145, 1432, 5027, 5628, 7007, 31367, 4998]"
24,25,"[86, 1287, 1801, 2013, 2019, 2370, 2421, 2893, 2905, 6448]"
25,26,"[2058, 5388, 7445, 8860, 74510, 90738, 120637, 132618, 150548, 165347]"
26,27,"[42015, 1884, 33138, 33669, 42004, 46578, 55269, 68659, 87194, 106918]"
27,28,"[8830, 27618, 58025, 91500, 117529, 187031, 71999, 26849, 27032, 60471]"
28,29,"[2890, 82765, 31617, 77866, 7215, 26236, 49530, 3406, 3654, 4103]"
29,30,"[1726, 4643, 6645, 72308, 171765, 173145, 164226, 8361, 27618, 48774]"
30,31,"[4956, 117646, 55116, 380, 6564, 4719, 71999, 42015, 4818, 31367]"
31,32,"[4956, 970, 59947, 70728, 1912, 3893, 144606, 4719, 459, 20]"
32,33,"[496, 5666, 1912, 3893, 144606, 970, 72142, 6023, 27716, 33903]"
33,34,"[27032, 8361, 27618, 48774, 58025, 91500, 117529, 187031, 1429, 2835]"
34,35,"[459, 4956, 55116, 5657, 6990, 970, 4800, 4998, 3390, 31921]"
35,36,"[45, 319, 5416, 6193, 41716, 91128, 105835, 116897, 145150, 72]"
36,37,"[55116, 6503, 8968, 26184, 80219, 1429, 2835, 4270, 31367, 6584]"
37,38,"[4956, 496, 5666, 72142, 970, 26236, 1912, 3893, 144606, 59947]"
38,39,"[7235, 27549, 20, 145, 1432, 5027, 5628, 7007, 59947, 70728]"
39,40,"[72, 75, 96, 106, 156, 171, 178, 194, 304, 322]"
40,41,"[45, 319, 5416, 6193, 41716, 91128, 105835, 145150, 1912, 3893]"
41,42,"[59947, 70728, 4956, 1912, 3893, 144606, 20, 145, 1432, 5027]"
42,43,"[148775, 2846, 3674, 4683, 5076, 6557, 108540, 60516, 117646, 69644]"
43,44,"[27032, 1527, 3827, 4121, 5523, 8633, 59615, 69278, 122904, 191005]"
44,45,"[4956, 55116, 4719, 5657, 6990, 31367, 42015, 4818, 117646, 6564]"
45,46,"[4956, 55116, 4719, 459, 4800, 117646, 31367, 59947, 70728, 6564]"
46,47,"[26, 40, 43, 55, 57, 121, 148, 154, 175, 184]"
47,48,"[164226, 188301, 27032, 134170, 3827, 4121, 5523, 8633, 59615, 69278]"
48,49,"[71999, 55116, 27728, 4818, 8361, 27618, 48774, 58025, 91500, 117529]"
49,50,"[117646, 4956, 2617, 72165, 71999, 26236, 1215, 55116, 27036, 42015]"
50,51,"[4956, 59947, 70728, 55116, 2164, 438, 1112, 4442, 4635, 27695]"
51,52,"[55116, 459, 6016, 31367, 4956, 6503, 8968, 26184, 80219, 798]"
52,53,"[496, 5666, 4956, 72142, 1912, 3893, 144606, 45, 319, 5416]"
53,54,"[608, 1034, 3266, 4242, 6003, 6705, 57669, 71211, 75813, 1912]"
54,55,"[111, 149, 259, 456, 482, 507, 707, 1344, 1351, 1598]"
55,56,"[2483, 5007, 90522, 4956, 55116, 6564, 31367, 59947, 70728, 45]"
56,57,"[4956, 55116, 59947, 70728, 459, 5657, 6990, 31367, 4719, 4800]"
57,58,"[4956, 496, 5666, 72142, 970, 4719, 42015, 1912, 3893, 144606]"
58,59,"[49530, 7215, 36529, 27397, 59947, 70728, 2802, 3584, 4438, 8093]"
59,60,"[26236, 970, 5657, 6990, 3390, 4956, 4719, 42015, 459, 4818]"
60,61,"[8481, 2429, 41569, 117646, 164226, 71999, 38294, 55259, 76175, 123553]"
61,62,"[459, 6016, 4998, 20, 145, 1432, 5027, 5628, 7007, 55116]"
62,63,"[4719, 4956, 4818, 42015, 55116, 438, 1112, 4442, 4635, 27695]"
63,64,"[970, 4956, 438, 1112, 4442, 4635, 27695, 33672, 71156, 73676]"
64,65,"[4756, 25946, 27708, 43917, 168, 1100, 3996, 8983, 89862, 1216]"
65,66,"[4956, 59947, 70728, 459, 55116, 4800, 4719, 970, 3584, 4438]"
66,67,"[55116, 438, 1112, 4442, 4635, 27695, 33672, 71156, 73676, 84523]"
67,68,"[4956, 42015, 117646, 4818, 55116, 71999, 31367, 5657, 6990, 7720]"
68,69,"[55116, 1396, 59947, 70728, 4956, 27549, 56003, 5657, 6990, 459]"
69,70,"[970, 72, 75, 82, 96, 106, 156, 171, 178, 194]"
70,71,"[4800, 3633, 4956, 71999, 380, 6564, 55116, 459, 31367, 798]"
71,72,"[1396, 519, 2985, 27549, 459, 55116, 31367, 8361, 27618, 48774]"
72,73,"[55116, 27618, 48774, 58025, 117529, 187031, 27032, 71999, 164226, 117646]"
73,74,"[45, 319, 5416, 6193, 41716, 91128, 105835, 116897, 145150, 1912]"
74,75,"[164226, 161594, 188301, 546, 62956, 26849, 71999, 52462, 148775, 2617]"
75,76,"[459, 5657, 6990, 4998, 31921, 20, 145, 1432, 5027, 5628]"
76,77,"[164226, 188301, 4133, 4275, 5638, 5700, 8782, 32898, 33801, 53453]"
77,78,"[6550, 6812, 8241, 27426, 78469, 105020, 158721, 159093, 420, 861]"
78,79,"[97757, 27002, 55116, 6016, 5657, 6990, 6503, 8968, 26184, 80219]"
79,80,"[198, 2058, 8860, 74510, 90738, 120637, 132618, 150548, 165347, 4210]"
80,81,"[57368, 114935, 135518, 183635, 1372, 114180, 66, 76, 172, 338]"
81,82,"[55116, 4818, 1429, 2835, 27032, 117646, 2471, 2748, 2879, 2880]"
82,83,"[4956, 438, 1112, 4442, 4635, 27695, 33672, 71156, 73676, 84523]"
83,84,"[496, 5666, 72, 75, 82, 96, 106, 156, 171, 178]"
84,85,"[26, 31, 40, 43, 55, 57, 62, 121, 147, 148]"
85,86,"[198, 8972, 26614, 77364, 6902, 67197, 85414, 8361, 27618, 48774]"
86,87,"[47404, 8426, 99764, 148775, 26776, 52462, 43289, 47384, 7099, 45672]"
87,88,"[6902, 117646, 31921, 55116, 2429, 41569, 459, 1754, 4998, 6016]"
88,89,"[108540, 138702, 71899, 156553, 165959, 109383, 1151, 32456, 1014, 1812]"
89,90,"[496, 5666, 72142, 11, 94, 195, 224, 232, 281, 351]"
90,91,"[72165, 164226, 71999, 27032, 55116, 117646, 8361, 27618, 48774, 58025]"
91,92,"[117646, 2617, 72165, 6902, 1215, 148775, 71999, 4956, 45672, 380]"
92,93,"[71999, 117646, 4956, 55116, 4818, 4800, 42015, 6564, 164226, 4756]"
93,94,"[2422, 79224, 117646, 148775, 2846, 3674, 4683, 5076, 6557, 55116]"
94,95,"[71999, 8361, 27618, 48774, 58025, 91500, 117529, 187031, 55116, 4956]"
95,96,"[55116, 4956, 459, 5657, 6990, 31367, 117646, 71999, 4800, 1396]"
96,97,"[55116, 459, 6016, 798, 2344, 2403, 2524, 4142, 5064, 5479]"
97,98,"[55116, 71999, 4956, 117646, 6902, 4818, 4719, 4800, 380, 6564]"
98,99,"[4956, 31367, 59947, 70728, 970, 4719, 55116, 1912, 3893, 144606]"
99,100,"[4956, 72142, 42015, 438, 1112, 4442, 4635, 27695, 33672, 71156]"
100,101,"[45, 319, 5416, 6193, 41716, 91128, 105835, 116897, 145150, 496]"
101,102,"[45, 319, 5416, 6193, 41716, 91128, 105835, 116897, 145150, 1912]"
102,103,"[1473, 2000, 2001, 2002, 3716, 4085, 4879, 5049, 8370, 26840]"
103,104,"[61071, 109383, 970, 587, 4719, 72142, 42015, 57504, 496, 5666]"
104,105,"[4719, 8253, 970, 4956, 5657, 6990, 161354, 55116, 31367, 27790]"
105,106,"[38294, 55259, 123553, 156607, 2429, 41569, 117646, 485, 3740, 3997]"
106,107,"[1884, 33138, 33669, 42004, 46578, 55269, 68659, 87194, 106918, 114678]"
107,108,"[496, 5666, 72142, 970, 61071, 27420, 53161, 4956, 42015, 1912]"
108,109,"[866, 2166, 2764, 3598, 4919, 5424, 58078, 58803, 81788, 1912]"
109,110,"[70687, 8464, 27899, 46105, 5785, 81156, 32314, 27002, 118198, 97757]"
110,111,"[438, 1112, 4442, 4635, 27695, 33672, 71156, 73676, 84523, 85401]"
111,112,"[8361, 27618, 48774, 58025, 91500, 117529, 187031, 71999, 27032, 2625]"
112,113,"[496, 5666, 4, 52, 58, 94, 195, 232, 281, 359]"
113,114,"[117646, 164226, 1215, 71999, 2617, 72165, 188301, 148775, 43289, 47384]"
114,115,"[8481, 27683, 5300, 84944, 3681, 78467, 119828, 66785, 1254, 39435]"
115,116,"[380, 6564, 4956, 42015, 552, 2405, 7720, 33679, 57951, 2468]"
116,117,"[61071, 42015, 970, 109383, 45672, 108540, 72142, 1907, 4719, 4956]"
117,118,"[166, 478, 778, 1271, 1910, 2289, 2587, 2973, 3130, 4410]"
118,119,"[55116, 4956, 459, 4719, 5657, 6990, 59947, 70728, 4800, 31367]"
119,120,"[5657, 6990, 4956, 55116, 4818, 31367, 1396, 42015, 970, 380]"
120,121,"[970, 72142, 6023, 27716, 33903, 72919, 129354, 496, 5666, 1912]"
121,122,"[59947, 70728, 55116, 4956, 27549, 1396, 4719, 56003, 20, 145]"
122,123,"[198, 519, 2985, 315, 786, 1047, 1385, 1488, 1515, 1626]"
123,124,"[496, 5666, 970, 1912, 3893, 144606, 72142, 4956, 45, 319]"
124,125,"[4956, 496, 5666, 59947, 70728, 45, 319, 5416, 6193, 41716]"
125,126,"[459, 31921, 59947, 70728, 6016, 4998, 20, 145, 1432, 5027]"
126,127,"[81132, 45, 319, 5416, 6193, 41716, 91128, 105835, 116897, 145150]"
127,128,"[4956, 970, 31367, 459, 42015, 4800, 4719, 72142, 496, 5666]"
