,userId,recommended_movies
0,1,"[6612, 8147, 3429, 6752, 68932, 6886, 2917, 142422, 6808, 37495]"
1,2,"[40, 3939, 122092, 37444, 35807, 147410, 140561, 108078, 106594, 153408]"
2,3,"[127298, 38095, 40959, 148881, 26326, 1260, 82848, 74668, 128620, 165969]"
3,4,"[4339, 71033, 37495, 80969, 6808, 142422, 69849, 68932, 8207, 40]"
4,5,"[26326, 94070, 2917, 1050, 64116, 60737, 1150, 106594, 3429, 91488]"
5,6,"[3429, 451, 68932, 7889, 94661, 2358, 91488, 103688, 6612, 4339]"
6,7,"[68932, 167732, 142422, 153408, 40, 80969, 69849, 2917, 6808, 104245]"
7,8,"[32460, 2917, 37495, 68932, 6612, 40, 44943, 6808, 60737, 3429]"
8,9,"[142422, 1950, 68932, 71033, 65585, 3201, 5187, 4772, 2917, 6808]"
9,10,"[91488, 3939, 68932, 80969, 50160, 3429, 103883, 40, 103688, 130452]"
10,11,"[26326, 2917, 68932, 142422, 4339, 60737, 6612, 3429, 104245, 47894]"
11,12,"[105746, 172881, 1446, 1177, 104875, 162598, 172875, 3568, 104339, 174053]"
12,13,"[26326, 94070, 142422, 4981, 60737, 148881, 47894, 2917, 6808, 3429]"
13,14,"[1132, 140561, 37444, 147410, 108078, 106594, 122092, 35807, 127134, 3939]"
14,15,"[6612, 4772, 4339, 37495, 3201, 8147, 142422, 6808, 68932, 3091]"
15,16,"[1785, 104245, 6808, 4339, 69849, 68932, 37495, 142422, 65585, 40]"
16,17,"[1785, 4981, 71033, 391, 148881, 68932, 65585, 27879, 8015, 2917]"
17,18,"[2358, 71033, 3429, 4772, 3091, 65585, 4339, 68932, 142422, 6808]"
18,19,"[26326, 136449, 87234, 3201, 7481, 7926, 170945, 148881, 104875, 2917]"
19,20,"[1046, 142422, 68932, 44943, 6808, 3429, 2917, 47894, 37495, 40]"
20,21,"[80969, 130482, 130452, 108078, 44851, 153408, 40, 106594, 3939, 37444]"
21,22,"[6791, 4187, 1050, 128620, 127298, 3201, 74668, 2917, 26326, 148881]"
22,23,"[70599, 130452, 2358, 3429, 94070, 104245, 40, 69712, 103688, 68932]"
23,24,"[4339, 6808, 47894, 2917, 2358, 32460, 68932, 3429, 142422, 6612]"
24,25,"[103543, 74510, 2925, 1533, 5932, 104339, 104875, 105746, 108078, 3641]"
25,26,"[8207, 74668, 68932, 1950, 4772, 5187, 71033, 3201, 2917, 6808]"
26,27,"[8147, 7368, 8207, 68932, 69849, 6808, 40, 80969, 37495, 142422]"
27,28,"[71033, 3201, 80969, 3091, 8147, 80693, 68932, 104245, 40, 2917]"
28,29,"[65585, 1046, 60737, 2917, 142422, 47894, 3429, 68932, 148881, 6808]"
29,30,"[4339, 2917, 8147, 6886, 6752, 142422, 40, 37495, 6808, 68932]"
30,31,"[2358, 6808, 142422, 2917, 3091, 47894, 44943, 3429, 68932, 6612]"
31,32,"[32460, 68932, 2358, 3091, 26326, 3201, 104245, 3429, 47894, 4339]"
32,33,"[4339, 2917, 3091, 8147, 3201, 40, 6808, 37495, 142422, 68932]"
33,34,"[142422, 3201, 91488, 60737, 103688, 68932, 32460, 6612, 3429, 104245]"
34,35,"[47894, 32460, 3091, 2358, 2917, 6808, 3429, 6612, 68932, 142422]"
35,36,"[8147, 4339, 65585, 6752, 142422, 7889, 68932, 6808, 71033, 6612]"
36,37,"[47894, 3201, 4339, 65585, 2917, 6612, 68932, 142422, 6808, 3429]"
37,38,"[103883, 91488, 60737, 3429, 1046, 2917, 1050, 80969, 68932, 40]"
38,39,"[7926, 40, 80969, 153408, 130452, 8207, 105746, 104875, 170945, 65585]"
39,40,"[142422, 68932, 32460, 6612, 6808, 47894, 2917, 148881, 60737, 3429]"
40,41,"[3201, 127298, 74668, 176, 91079, 5187, 6808, 68932, 91488, 65585]"
41,42,"[6886, 3091, 5187, 80969, 37495, 40, 68932, 4339, 69849, 8207]"
42,43,"[1046, 6612, 65585, 37495, 6886, 4339, 6808, 68932, 3429, 142422]"
43,44,"[6808, 4339, 2358, 68932, 142422, 6612, 32460, 104245, 3429, 47894]"
44,45,"[4339, 3091, 6752, 71033, 8147, 6808, 6886, 68932, 37495, 142422]"
45,46,"[142422, 26326, 1785, 3429, 68932, 60737, 6612, 104245, 32460, 65585]"
46,47,"[115664, 104245, 3429, 103688, 103883, 94070, 40, 50160, 70599, 80969]"
47,48,"[65585, 69849, 6612, 37495, 6886, 68932, 6808, 4339, 40, 142422]"
48,49,"[80969, 37495, 33677, 74324, 6966, 6300, 1446, 5339, 74510, 6536]"
49,50,"[4187, 7926, 3201, 74791, 148881, 127298, 1260, 6791, 74668, 40959]"
50,51,"[4339, 6886, 3429, 6808, 32460, 2358, 6612, 3091, 68932, 142422]"
51,52,"[6612, 181065, 4766, 3492, 8207, 106642, 3473, 3341, 2732, 3344]"
52,53,"[3539, 8254, 6902, 6390, 89580, 27022, 87234, 97866, 90943, 25788]"
53,54,"[127298, 2917, 74668, 6808, 6791, 74791, 3201, 1950, 1050, 4187]"
54,55,"[142422, 2917, 68932, 66509, 60737, 38095, 91488, 65585, 6808, 127298]"
55,56,"[32460, 60737, 142422, 44943, 6612, 68932, 47894, 2917, 6808, 3429]"
56,57,"[80969, 60737, 142422, 68932, 104245, 1785, 40, 69849, 6808, 8207]"
57,58,"[6612, 6886, 47894, 37495, 3091, 68932, 3429, 142422, 6808, 2917]"
58,59,"[47894, 65585, 3429, 6808, 2917, 68932, 142422, 1046, 71033, 4772]"
59,60,"[5187, 71033, 8207, 4339, 65585, 69849, 6808, 68932, 40, 142422]"
60,61,"[71033, 127298, 1785, 2917, 4339, 142422, 68932, 74668, 65585, 6808]"
61,62,"[6612, 41863, 4772, 549, 5187, 37495, 142422, 1046, 6808, 4339]"
62,63,"[47894, 3091, 1046, 37495, 142422, 2917, 6808, 6886, 3429, 68932]"
63,64,"[80969, 37495, 68932, 103883, 47894, 2917, 142422, 6808, 3429, 40]"
64,65,"[32460, 142422, 2917, 47894, 60737, 2358, 3429, 68932, 6612, 44943]"
65,66,"[37495, 142422, 6886, 65585, 47894, 1046, 32460, 68932, 60737, 148881]"
66,67,"[65585, 103688, 2917, 47894, 68932, 6808, 3429, 60737, 6612, 142422]"
67,68,"[4339, 142422, 2358, 104245, 32460, 47894, 44943, 2917, 6612, 3429]"
68,69,"[47894, 68932, 6886, 142422, 3429, 37495, 2917, 80969, 6808, 40]"
69,70,"[1050, 80969, 40, 148881, 8015, 104875, 153408, 1785, 6808, 2917]"
70,71,"[99853, 108078, 130452, 91488, 103688, 94070, 68932, 106594, 3429, 69712]"
71,72,"[4187, 4339, 6300, 183317, 5008, 6617, 26326, 1950, 1533, 3429]"
72,73,"[122092, 6808, 65585, 108078, 2917, 153408, 147410, 140561, 106594, 68932]"
73,74,"[71033, 65585, 80969, 40, 142422, 68932, 37495, 1046, 6808, 2917]"
74,75,"[6791, 94661, 1050, 69712, 40, 68932, 91488, 3429, 181065, 103688]"
75,76,"[4981, 94661, 6612, 103688, 124404, 68932, 65585, 7889, 4339, 2358]"
76,77,"[3429, 99853, 140561, 80969, 40, 130482, 108078, 91488, 106594, 51705]"
77,78,"[7368, 4339, 80969, 1785, 8207, 142422, 69849, 6808, 40, 68932]"
78,79,"[106, 104245, 148881, 2917, 44943, 6808, 47894, 3429, 60737, 6612]"
79,80,"[44943, 4766, 104245, 7208, 1150, 105746, 61255, 108078, 67665, 71640]"
80,81,"[104875, 8207, 108078, 32387, 153408, 167732, 66509, 65585, 71033, 40]"
81,82,"[4339, 71033, 65585, 8147, 40, 37495, 6808, 142422, 68932, 6612]"
