,userId,recommended_movies
0,1,"[86345, 8254, 4326, 72737, 308, 6787, 176, 6377, 7156, 1296]"
1,2,"[98124, 3768, 159061, 26900, 176, 922, 1276, 1003, 92046, 4353]"
2,3,"[358, 128488, 180031, 5632, 87222, 190, 8610, 110553, 9, 3991]"
3,4,"[79008, 98124, 92046, 6787, 5008, 8254, 80489, 7156, 8014, 8132]"
4,5,"[922, 6787, 80489, 176, 98124, 86345, 92046, 8254, 7156, 5712]"
5,6,"[26900, 2551, 86345, 5014, 4886, 8340, 1252, 3083, 4642, 80489]"
6,7,"[5008, 4225, 8254, 80489, 98124, 86345, 6787, 7156, 176, 92046]"
7,8,"[922, 8254, 64622, 84847, 7156, 5712, 92046, 86345, 176, 98124]"
8,9,"[8014, 8254, 7156, 176, 6787, 1952, 5008, 162, 4326, 2360]"
9,10,"[4642, 4353, 5712, 4225, 98124, 8254, 7156, 176, 86345, 92046]"
10,11,"[5008, 33660, 86345, 2360, 4326, 176, 162, 6787, 80489, 7156]"
11,12,"[2551, 5014, 1003, 86, 2268, 92046, 86345, 1276, 922, 4353]"
12,13,"[80489, 922, 79008, 8254, 98124, 92046, 176, 6787, 86345, 7156]"
13,14,"[92046, 56339, 168252, 87194, 7156, 6787, 5712, 86345, 2732, 176]"
14,15,"[2732, 6787, 86345, 98124, 8254, 92046, 176, 5712, 80489, 7156]"
15,16,"[98124, 5712, 48516, 8254, 79008, 7156, 92046, 176, 86345, 922]"
16,17,"[162, 1276, 79008, 98124, 92046, 86345, 6787, 8254, 176, 7156]"
17,18,"[898, 930, 8014, 1952, 2360, 176, 4326, 33660, 7156, 162]"
18,19,"[6787, 3871, 1236, 1103, 87194, 57669, 176, 1050, 168252, 3200]"
19,20,"[3429, 33660, 308, 176, 162, 6377, 7156, 6787, 1296, 80489]"
20,21,"[2871, 4353, 223, 84847, 5329, 92046, 179073, 90746, 31658, 1921]"
21,22,"[5712, 79008, 8254, 922, 7156, 98124, 1276, 86345, 92046, 176]"
22,23,"[26498, 96861, 64249, 176, 86345, 80489, 2138, 1003, 92046, 4353]"
23,24,"[98124, 79008, 6787, 8254, 922, 1276, 92046, 176, 86345, 7156]"
24,25,"[2360, 8014, 8254, 86345, 4326, 7156, 176, 162, 6787, 1296]"
25,26,"[70533, 98124, 3200, 6787, 6283, 2732, 7156, 56339, 176, 87194]"
26,27,"[8132, 8254, 5014, 922, 80489, 86345, 176, 7156, 4225, 92046]"
27,28,"[6286, 1269, 64622, 27865, 80489, 96861, 176, 4450, 3359, 2138]"
28,29,"[1296, 6377, 308, 33660, 72737, 40819, 162, 1952, 4326, 593]"
29,30,"[922, 162, 8254, 86345, 6787, 8014, 7156, 4326, 176, 92046]"
30,31,"[5712, 79008, 8254, 7156, 80489, 176, 98124, 92046, 86345, 922]"
31,32,"[5008, 5712, 2730, 7156, 80489, 98124, 6787, 86345, 176, 92046]"
32,33,"[5008, 5712, 92046, 79008, 8254, 98124, 6787, 176, 7156, 162]"
33,34,"[162, 8254, 7156, 79008, 176, 5712, 6787, 158966, 98124, 92046]"
34,35,"[56339, 64249, 92046, 176, 6283, 98124, 2732, 87194, 86345, 7156]"
35,36,"[136449, 1150, 87194, 57640, 176, 279, 3200, 6283, 110553, 52730]"
36,37,"[2360, 92046, 5008, 8014, 6787, 162, 176, 86345, 8254, 7156]"
37,38,"[6283, 70533, 87194, 7156, 2732, 6787, 98124, 3200, 56339, 176]"
38,39,"[8014, 5008, 92046, 98124, 6787, 8254, 176, 7156, 86345, 162]"
39,40,"[79008, 8254, 80489, 4225, 7156, 98124, 86345, 92046, 176, 922]"
40,41,"[98124, 87194, 86345, 168252, 7024, 99764, 176, 92046, 7156, 6787]"
41,42,"[76093, 6377, 4225, 72737, 922, 86345, 87232, 2324, 1276, 92046]"
