,userId,cluster,content,dfm,fm,knn,lightgcn,mf,ngcf
0,1,"['Dragonheart 2: A New Beginning', 'Hunting Party, The', 'Stunt Man, The', 'Extreme Days', 'Flashback', 'The Great Train Robbery', 'Osmosis Jones', 'Aelita: The Queen of Mars (Aelita)', 'Chase, The', 'True Lies']","['Just Cause', 'Dial M for Murder', 'Brothers Bloom, The', 'Pearl Harbor', 'General, The', 'Stagecoach', 'Ace Ventura: When Nature Calls', 'Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu)', 'Doctor Strange', 'Andrew Dice Clay: Dice Rules']","[""Brother's Keeper"", 'Charly', 'Creature Comforts', 'Fighting Temptations, The', 'Soloist, The', 'Beyond Borders', 'Body Heat', 'The Night Before', 'Where Eagles Dare', 'Survive Style 5+']","['Louis C.K.: Hilarious', 'Arizona Dream', 'Mississippi Burning', 'Princess and the Frog, The', 'Three Colors: White (Trzy kolory: Bialy)', ""All the President's Men"", 'Living in Oblivion', 'Finding Nemo', 'Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The', 'Room with a View, A']","['Full Metal Jacket', 'L.A. Confidential', 'Ghost and Mrs. Muir, The', 'Princess Bride, The', 'Citizen Kane', 'Longest Day, The', 'Big Trouble in Little China', 'Psycho', 'Fight Club', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)']","['Star Wars: Episode IV - A New Hope', 'Star Wars: Episode VI - Return of the Jedi', 'Star Wars: Episode V - The Empire Strikes Back', 'Superman II', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)', 'Rocketeer, The', 'Back to the Future', 'Star Wars: Episode I - The Phantom Menace', 'Alien', 'Willow']","['Princess Bride, The', 'Fight Club', 'Full Metal Jacket', 'L.A. Confidential', 'Citizen Kane', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)', 'Big Trouble in Little China', 'Psycho', 'Clerks', 'Fargo']","['Army of Darkness', 'Shawshank Redemption, The', 'Star Wars: Episode I - The Phantom Menace', 'Superman II', 'X-Men', 'Star Wars: Episode VI - Return of the Jedi', 'Star Wars: Episode IV - A New Hope', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)', 'Star Wars: Episode V - The Empire Strikes Back', 'Abyss, The']"
1,2,"['Super Size Me', 'What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?)', 'Jackass: The Movie', 'Jackass 3D', 'The Green Prince', 'Incident at Loch Ness', 'I Am a Sex Addict', 'Paper Heart', 'From the Earth to the Moon', 'Man Vanishes, A (Ningen Johatsu)']","['Ace Ventura: When Nature Calls', 'Capturing the Friedmans', 'Nixon', 'Life', 'Spider-Man', 'UnHung Hero', 'For Keeps', 'Need for Speed', 'Valhalla Rising', 'Training Day']","['Cry, the Beloved Country', 'Slumber Party Massacre II', 'Guy X', 'Frankenstein 90', 'Teahouse of the August Moon, The', 'A Perfect Day', 'Jeff Ross Roasts Criminals: Live at Brazos County Jail', 'Chinese Puzzle (Casse-tête chinois)', 'Red Flag', 'Tears for Sale']","['Batman: The Dark Knight Returns, Part 1', 'Braddock: Missing in Action III', 'The Wailing', 'Last Wedding, The (Kivenpyörittäjän kylä)', 'Living in Oblivion', 'Sunset Blvd. (a.k.a. Sunset Boulevard)', 'Cool Hand Luke', 'Extreme Measures', 'Contact High', 'Uncommon Valor']","['Shawshank Redemption, The', 'Ex Machina', 'Interstellar', 'Gladiator', 'Inception', 'Warrior', 'The Jinx: The Life and Deaths of Robert Durst', 'Toy Story', 'Enron: The Smartest Guys in the Room', 'Mysterious Skin']","['Inception', 'Shutter Island', 'The Jinx: The Life and Deaths of Robert Durst', 'Interstellar', 'Django Unchained', 'Shawshank Redemption, The', 'Dark Knight Rises, The', 'Departed, The', 'Wolf of Wall Street, The', 'Whiplash']","['Shawshank Redemption, The', 'Interstellar', 'Inception', 'Ex Machina', 'Gladiator', 'Warrior', 'The Jinx: The Life and Deaths of Robert Durst', 'Toy Story', 'Enron: The Smartest Guys in the Room', 'Mysterious Skin']","['Inception', 'Fight Club', 'Shutter Island', 'Inglourious Basterds', 'Interstellar', 'Dark Knight Rises, The', 'Django Unchained', 'Wolf of Wall Street, The', 'The Imitation Game', 'Prestige, The']"
2,3,"['Rogue', 'Aliens', 'Sharknado 4: The 4th Awakens', 'Lawnmower Man, The', 'Alien³ (a.k.a. Alien 3)', 'Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The)', 'Deep Blue Sea', 'Tetsuo, the Ironman (Tetsuo)', 'Resident Evil', 'AVP: Alien vs. Predator']","['Spawn', 'Supernova', 'Terminator Genisys', 'Black Sheep', 'Chronicles of Riddick, The', 'Fly, The', 'Brave New World', 'Swarm, The', 'Rollerball', 'Ginger Snaps Back: The Beginning']","['A Pigeon Sat on a Branch Reflecting on Existence', 'Bittersweet Life, A (Dalkomhan insaeng)', 'Ice Harvest, The', 'World of Tomorrow', 'Holy Mountain, The (Montaña sagrada, La)', 'M', 'One Week', 'District 13: Ultimatum (Banlieue 13 - Ultimatum)', 'Victoria', 'HyperNormalisation']","['Higher Learning', 'Wild Card', 'The Shape of Water', 'Bloody Sunday', 'Kung Fu Panda 2', 'Safe', 'All of Me', 'The Amazing Spider-Man 2', 'Sudden Death', '102 Dalmatians']","['Road Warrior, The (Mad Max 2)', 'Doors, The', 'Fast Times at Ridgemont High', 'Hangar 18', 'Escape from L.A.', 'Saturn 3', '2012', 'Enron: The Smartest Guys in the Room', 'Vampire Hunter D', 'Mischief']","['Hangar 18', 'Looker', 'Master of the Flying Guillotine (Du bi quan wang da po xue di zi)', 'Alien Contamination', 'Galaxy of Terror (Quest)', 'Clonus Horror, The', 'Troll 2', 'Death Race 2000', 'The Lair of the White Worm', 'Piranha']","['Road Warrior, The (Mad Max 2)', 'Fast Times at Ridgemont High', 'Doors, The', 'Hangar 18', 'Escape from L.A.', 'Saturn 3', '2012', 'Enron: The Smartest Guys in the Room', 'Vampire Hunter D', 'Mischief']","['The Lair of the White Worm', 'Green Card', 'Master of the Flying Guillotine (Du bi quan wang da po xue di zi)', '2012', 'Clonus Horror, The', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)', 'Star Trek: The Motion Picture', 'Operation Dumbo Drop', 'Hangar 18', 'Snow Dogs']"
3,4,"['Beat the Devil', 'What Happened Was...', 'Rules of Attraction, The', 'Stunt Man, The', 'Love Exposure (Ai No Mukidashi)', 'Ghost', 'Out of Sight', 'Nurse Betty', 'Confessions of a Dangerous Mind', 'Cherish']","['Ace Ventura: When Nature Calls', 'Into the Abyss', 'Andrew Dice Clay: Dice Rules', 'Divorcee, The', 'You Are the Apple of My Eye', 'Sky Captain and the World of Tomorrow', 'Wristcutters: A Love Story', 'Double, The', 'Horse Feathers', ""Don't Say a Word""]","[""Von Ryan's Express"", 'Secret in Their Eyes, The (El secreto de sus ojos)', 'Survive Style 5+', 'Never Let Me Go', 'Where Eagles Dare', 'The Night Before', 'Roots', 'Soloist, The', 'Day of the Jackal, The', 'Cry, the Beloved Country']","['South Park: Imaginationland', 'Batman: The Dark Knight Returns, Part 1', 'Contact High', ""All the President's Men"", 'Witness for the Prosecution', 'Arizona Dream', 'Town, The', 'Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The', 'Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)', 'Gladiator']","['Night on Earth', 'Pulp Fiction', 'Nights of Cabiria (Notti di Cabiria, Le)', 'Crimes and Misdemeanors', 'Psycho', 'Casablanca', 'Good Will Hunting', 'Philadelphia Story, The', 'Memento', 'L.A. Confidential']","['This Is Spinal Tap', 'Shakespeare in Love', 'Fargo', 'Lone Star', 'Sweet Hereafter, The', 'L.A. Confidential', 'Elizabeth', 'Some Like It Hot', 'All About Eve', 'Piano, The']","['Psycho', 'Philadelphia Story, The', 'L.A. Confidential', 'Casablanca', 'Memento', 'Butch Cassidy and the Sundance Kid', 'Seven (a.k.a. Se7en)', 'American Beauty', 'Amadeus', 'Fantasia']","['Fargo', 'Erin Brockovich', 'O Brother, Where Art Thou?', 'Sense and Sensibility', ""Schindler's List"", 'Swingers', 'Goodfellas', 'Scream', 'Four Weddings and a Funeral', 'Forrest Gump']"
4,5,"['Osmosis Jones', 'Beat the Devil', 'Shanghai Surprise', 'Millions', 'Time of the Gypsies (Dom za vesanje)', 'Ghost', 'Stunt Man, The', 'Flashback', 'The Great Train Robbery', 'Getaway, The']","['Say Anything...', 'Reckoning, The', ""Who'll Stop the Rain"", 'Party Monster', 'Nixon', 'Before the Rain (Pred dozhdot)', 'Quigley Down Under', 'Nightmare Before Christmas, The', 'Tangled', 'Beauty and the Beast: The Enchanted Christmas']","['Holy Mountain, The (Montaña sagrada, La)', 'Best Exotic Marigold Hotel, The', 'Body Heat', 'Looking for Richard', 'Igor', 'Watching the Detectives', 'Return of Martin Guerre, The (Retour de Martin Guerre, Le)', 'Red Flag', 'Creature Comforts', 'Snowman, The']","['Sunset Blvd. (a.k.a. Sunset Boulevard)', ""All the President's Men"", 'Town, The', 'Living in Oblivion', 'Batman: The Dark Knight Returns, Part 1', 'Louis C.K.: Hilarious', 'Contact High', 'Arizona Dream', 'Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The', 'Blow Out']","['Pulp Fiction', 'Heavenly Creatures', 'Lion King, The', 'Like Water for Chocolate (Como agua para chocolate)', 'Babe', 'Once Were Warriors', 'Dead Man Walking', 'Shadowlands', 'Snow White and the Seven Dwarfs', 'Terminator 2: Judgment Day']","['Dances with Wolves', 'Pulp Fiction', 'Shawshank Redemption, The', 'Forrest Gump', 'Fugitive, The', 'Braveheart', 'Apollo 13', 'Silence of the Lambs, The', 'Batman', 'Jurassic Park']","['Pulp Fiction', 'Babe', 'Like Water for Chocolate (Como agua para chocolate)', 'Lion King, The', 'Terminator 2: Judgment Day', 'Eat Drink Man Woman (Yin shi nan nu)', 'Heavenly Creatures', 'Dead Man Walking', 'Once Were Warriors', 'Shadowlands']","['Pulp Fiction', 'Mask, The', 'Remains of the Day, The', 'Forrest Gump', 'Like Water for Chocolate (Como agua para chocolate)', 'Sense and Sensibility', 'Braveheart', 'Client, The', 'Madness of King George, The', 'Silence of the Lambs, The']"
5,6,"['Stunt Man, The', 'Hunting Party, The', 'Osmosis Jones', 'Dragonheart 2: A New Beginning', 'Protector, The', 'Bronson', ""King Solomon's Mines"", 'Extreme Days', 'Casanova', 'Lara Croft Tomb Raider: The Cradle of Life']","['Chasing Liberty', 'Four Rooms', 'Identity', 'Above the Rim', 'Gladiator', 'Zulu', 'Maze Runner, The', 'House of Flying Daggers (Shi mian mai fu)', 'Only God Forgives', 'Andrew Dice Clay: Dice Rules']","['Creature Comforts', 'Flesh and Bone', 'Soloist, The', 'Pat Garrett and Billy the Kid', 'Rocket Singh: Salesman of the Year', 'Savior', 'Snowman, The', 'Conjuring, The', ""Brother's Keeper"", ""Von Ryan's Express""]","['Last Wedding, The (Kivenpyörittäjän kylä)', 'Dead Ringers', 'Louis C.K.: Hilarious', 'I Am Sam', 'Monsters, Inc.', 'Escape from Alcatraz', 'Chinatown', 'All About My Mother (Todo sobre mi madre)', 'Hedwig and the Angry Inch', 'Town, The']","['In the Name of the Father', ""Schindler's List"", 'Forrest Gump', 'Fargo', 'Seven (a.k.a. Se7en)', 'Léon: The Professional (a.k.a. The Professional) (Léon)', 'Bonnie and Clyde', 'Before and After', 'Dead Man Walking', 'Tombstone']","['Cliffhanger', 'Clear and Present Danger', 'Disclosure', 'Broken Arrow', 'Batman', 'Batman Forever', 'Outbreak', 'While You Were Sleeping', 'Congo', 'Star Trek: Generations']","['In the Name of the Father', ""Schindler's List"", 'Forrest Gump', 'Fargo', 'Jungle Book, The', 'Léon: The Professional (a.k.a. The Professional) (Léon)', 'Renaissance Man', ""What's Eating Gilbert Grape"", 'Dead Man Walking', 'Bonnie and Clyde']","['Cliffhanger', 'Stargate', 'Terminator 2: Judgment Day', 'Disclosure', 'Three Wishes', 'Boys on the Side', 'Twelve Monkeys (a.k.a. 12 Monkeys)', 'Die Hard: With a Vengeance', 'Pocahontas', 'Twister']"
6,7,"['Who Am I? (Wo shi shei)', 'Day After Tomorrow, The', 'Sound of Thunder, A', 'Children of Men', 'Jumper', 'The Hunger Games', 'Jurassic World', 'Jurassic World: Fallen Kingdom', 'Hunting Party, The', 'Aelita: The Queen of Mars (Aelita)']","['20,000 Leagues Under the Sea', 'I Served the King of England (Obsluhoval jsem anglického krále)', ""Kelly's Heroes"", 'Terminator Salvation', 'Hostel: Part II', 'Saw', 'Ready Player One', 'Our Man Flint', 'Man from Earth, The', 'Warriors of Heaven and Earth (Tian di ying xiong)']","['Soloist, The', 'A Street Cat Named Bob', 'The Night Before', 'Tears for Sale', 'Cry, the Beloved Country', 'Never Let Me Go', 'Roots', 'Body Heat', 'Where Eagles Dare', 'Planes']","['Witness for the Prosecution', 'Dish, The', 'Arizona Dream', 'Town, The', 'Batman: The Dark Knight Returns, Part 1', 'Louis C.K.: Hilarious', ""All the President's Men"", 'Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The', 'Living in Oblivion', 'Contact High']","['Usual Suspects, The', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Seven Samurai (Shichinin no samurai)', 'Postman, The (Postino, Il)', 'Star Wars: Episode IV - A New Hope', 'Planet of the Apes', 'Hunt for Red October, The', 'Casino Royale', 'Terminator, The', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone)""]","['Lord of the Rings: The Two Towers, The', 'Shrek', 'Lord of the Rings: The Fellowship of the Ring, The', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Matrix, The', 'Spider-Man', 'Lord of the Rings: The Return of the King, The', 'Spider-Man 2', 'Incredibles, The', 'Forrest Gump']","['Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Usual Suspects, The', 'Star Wars: Episode IV - A New Hope', 'Casino Royale', 'Beauty and the Beast', 'Seven Samurai (Shichinin no samurai)', 'Planet of the Apes', 'Hunt for Red October, The', 'Jurassic Park', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone)""]","['Star Wars: Episode II - Attack of the Clones', 'Spider-Man', 'Star Wars: Episode III - Revenge of the Sith', 'Signs', 'Pulp Fiction', 'Minority Report', 'Spider-Man 2', 'Truman Show, The', 'Road to Perdition', 'Apollo 13']"
7,8,"['Getaway, The', 'Osmosis Jones', 'Stunt Man, The', 'Hunting Party, The', 'Protector, The', 'Bronson', 'Beat the Devil', 'Flashback', 'The Great Train Robbery', ""King Solomon's Mines""]","['Old Yeller', 'Red Dragon', 'Punisher, The', 'Needful Things', 'The Infiltrator', 'Valley Girl', 'Fantasia 2000', 'Lara Croft Tomb Raider: The Cradle of Life', 'Bent', 'True Grit']","[""Knockin' on Heaven's Door"", 'Body Heat', 'Survive Style 5+', 'Soloist, The', ""Brother's Keeper"", 'Cry, the Beloved Country', '9/11', 'Where Eagles Dare', 'Watching the Detectives', 'Creature Comforts']","['Sunset Blvd. (a.k.a. Sunset Boulevard)', 'Arizona Dream', 'Reader, The', 'Emma', 'Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The', 'Blow Out', 'Contact High', 'Louis C.K.: Hilarious', 'Living in Oblivion', 'Batman: The Dark Knight Returns, Part 1']","['Pulp Fiction', 'Braveheart', 'American President, The', 'GoldenEye', 'Interview with the Vampire: The Vampire Chronicles', 'Sleepless in Seattle', 'Babe', 'Clueless', 'Batman', 'True Lies']","['Batman', 'Batman Forever', 'Dances with Wolves', 'Apollo 13', 'Beauty and the Beast', 'Aladdin', 'True Lies', 'Ace Ventura: Pet Detective', 'Crimson Tide', 'Outbreak']","['Pulp Fiction', 'Braveheart', 'American President, The', 'Babe', 'Interview with the Vampire: The Vampire Chronicles', 'Sleepless in Seattle', 'Batman', 'GoldenEye', 'Nell', 'Clueless']","['Batman', 'Pulp Fiction', 'Client, The', 'Firm, The', 'Batman Forever', 'Mrs. Doubtfire', 'Legends of the Fall', 'Mask, The', 'Beauty and the Beast', 'True Lies']"
8,9,"['Bird People in China, The (Chûgoku no chôjin)', 'Zoom', 'Princess Bride, The', 'Librarian: Quest for the Spear, The', 'Fear and Loathing in Las Vegas', 'Palindromes', 'Sisterhood of the Traveling Pants, The', 'Transamerica', 'Little Miss Sunshine', 'Darjeeling Limited, The']","['Minus Man, The', 'DOA: Dead or Alive', ""Hitchhiker's Guide to the Galaxy, The"", 'Ace Ventura: When Nature Calls', 'Excalibur', 'Andrew Dice Clay: Dice Rules', '10 Years', 'Harry Potter and the Chamber of Secrets', 'Internship, The', 'Bitter Moon']","['The Night Before', 'In the Heat of the Night', 'Soloist, The', 'Secret in Their Eyes, The (El secreto de sus ojos)', 'Bride Wars', 'Five Easy Pieces', 'Hopscotch', 'Dinner Rush', 'Body Heat', 'Where Eagles Dare']","['Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)', 'Arizona Dream', 'Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The', 'Living in Oblivion', ""All the President's Men"", 'Midnight Cowboy', 'Witness for the Prosecution', 'Crumb', 'Mississippi Burning', 'Celebration, The (Festen)']","['Party Girl', 'Lord of the Rings: The Fellowship of the Ring, The', 'Adaptation', 'King of Comedy, The', 'Witness', 'Prom Night', 'Star Wars: Episode II - Attack of the Clones', 'Pumpkin', 'Quicksilver', 'Tommy']","['Body of Evidence', 'Blind Date', 'Elling', 'I Spit on Your Grave (Day of the Woman)', 'Prom Night', 'Quicksilver', 'Toy Soldiers', 'King of Comedy, The', 'Duellists, The', 'Last Supper, The']","['Lord of the Rings: The Fellowship of the Ring, The', 'Adaptation', 'Witness', 'Party Girl', 'King of Comedy, The', 'Quicksilver', 'Prom Night', 'Return to the Blue Lagoon', 'Star Wars: Episode II - Attack of the Clones', 'Pumpkin']","['Boiler Room', 'Prom Night', 'Elling', 'Sunset Blvd. (a.k.a. Sunset Boulevard)', 'xXx', 'King of Comedy, The', 'Princess Mononoke (Mononoke-hime)', 'Phantasm', 'Toy Soldiers', 'Blind Date']"
9,10,"['Stunt Man, The', 'Casanova', 'Beat the Devil', 'Love Exposure (Ai No Mukidashi)', 'Chase, The', 'True Lies', 'Lara Croft Tomb Raider: The Cradle of Life', 'Flashback', 'The Great Train Robbery', 'Osmosis Jones']","['Guns of Navarone, The', 'Lovers & Leavers (Kuutamolla)', 'MatchMaker, The', 'Need for Speed', 'Rock, The', 'Housesitter', 'Persuasion', 'Wallace & Gromit: The Wrong Trousers', 'Nixon', 'Poseidon']","['Snowman, The', 'Slumber Party Massacre II', 'Soloist, The', 'Never Let Me Go', 'Miss Potter', 'Creature Comforts', '2 Guns', 'Cry, the Beloved Country', 'Conjuring, The', ""While We're Young""]","['Hedwig and the Angry Inch', 'Uncommon Valor', 'Blow Out', 'Dish, The', 'Batman: The Dark Knight Returns, Part 1', 'Arizona Dream', 'Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The', 'Living in Oblivion', 'Louis C.K.: Hilarious', 'Contact High']","['Pulp Fiction', 'Dark Knight, The', 'Matrix, The', 'Sherlock Holmes', 'Finding Nemo', 'Princess and the Frog, The', 'Dark Knight Rises, The', 'Incredibles, The', 'Hotel Rwanda', 'Mary Poppins']","['Notebook, The', 'How to Lose a Guy in 10 Days', 'Love Actually', ""King's Speech, The"", 'Easy A', 'Juno', 'No Strings Attached', 'Help, The', 'Holiday, The', '27 Dresses']","['Dark Knight, The', 'Matrix, The', 'Batman Begins', 'Dark Knight Rises, The', 'Incredibles, The', 'About a Boy', 'Up in the Air', 'Hotel Rwanda', 'Finding Nemo', 'Avatar']","['Easy A', 'Pretty One, The', ""St Trinian's 2: The Legend of Fritton's Gold"", 'Little Miss Sunshine', 'Forrest Gump', 'Up', 'Shrek', 'Julie & Julia', 'Beauty and the Beast', ""King's Speech, The""]"
