,userId,recommended_movies
0,1,"[1222, 1617, 943, 1197, 923, 3062, 3740, 1219, 2959, 1198]"
1,2,"[318, 115713, 109487, 3578, 79132, 89774, 131724, 1, 33154, 33171]"
2,3,"[3703, 1093, 3210, 5181, 849, 2851, 72378, 33154, 33294, 33188]"
3,4,"[1279, 296, 2351, 2973, 1219, 912, 1704, 898, 4226, 1617]"
4,5,"[296, 247, 364, 265, 34, 290, 36, 534, 594, 589]"
5,6,"[475, 527, 356, 608, 47, 293, 1084, 113, 36, 553]"
6,7,"[50, 750, 2019, 58, 260, 2529, 1610, 49272, 1240, 4896]"
7,8,"[296, 110, 11, 10, 253, 539, 34, 39, 592, 380]"
8,9,"[187, 4993, 5902, 6001, 1674, 1987, 5378, 5451, 5988, 2877]"
9,10,"[296, 58559, 2571, 73017, 6377, 72737, 91529, 8961, 30749, 1028]"
10,11,"[356, 1784, 165, 1370, 1923, 1616, 1604, 1693, 1687, 1391]"
11,12,"[3668, 357, 2572, 40629, 2717, 2581, 32906, 33164, 33421, 32898]"
12,13,"[3996, 3300, 2145, 3798, 3952, 33154, 33188, 33171, 33166, 33164]"
13,14,"[318, 296, 110, 356, 150, 337, 553, 539, 39, 339]"
14,15,"[1210, 2959, 858, 293, 2858, 5952, 105504, 50872, 356, 91529]"
15,16,"[3022, 4973, 1252, 58559, 1276, 923, 1704, 1198, 5971, 296]"
16,17,"[3508, 858, 3435, 6016, 4226, 5952, 293, 5618, 50, 2329]"
17,18,"[177593, 185135, 73323, 53129, 50, 3275, 527, 32460, 1089, 4011]"
18,19,"[904, 1198, 2788, 924, 930, 965, 2959, 260, 3740, 1291]"
19,20,"[914, 4846, 919, 2761, 3972, 4029, 2804, 3578, 5989, 3535]"
20,21,"[4973, 168252, 81845, 1200, 66934, 2959, 81834, 106782, 8961, 38038]"
21,22,"[58559, 318, 1193, 4993, 68157, 68954, 7153, 60766, 4306, 6711]"
22,23,"[334, 296, 1203, 6920, 3822, 1252, 1136, 923, 1222, 924]"
23,24,"[318, 4973, 38061, 1197, 1704, 79132, 27773, 608, 91529, 122886]"
24,25,"[5952, 7153, 527, 2571, 91529, 122916, 60069, 74458, 116797, 231]"
25,26,"[593, 225, 185, 1, 33154, 33294, 33188, 33171, 33166, 33164]"
26,27,"[3451, 3508, 1148, 1222, 1270, 1247, 260, 3062, 364, 1200]"
27,28,"[8132, 318, 1197, 1213, 4226, 1196, 1617, 1198, 475, 1089]"
28,29,"[1262, 1272, 1198, 858, 1617, 1209, 2028, 1224, 68237, 953]"
29,30,"[5952, 1200, 60069, 112852, 1036, 1240, 95510, 33154, 33294, 33188]"
30,31,"[1278, 1231, 1196, 1, 733, 1393, 1361, 588, 783, 605]"
31,32,"[318, 1086, 1197, 912, 74, 50, 1224, 1198, 6, 1103]"
32,33,"[50, 2571, 94, 1177, 1621, 1446, 2028, 778, 1673, 1213]"
33,34,"[4973, 318, 2324, 7438, 110, 3000, 1682, 1527, 589, 4246]"
34,35,"[261, 62, 342, 266, 592, 185, 39, 236, 33310, 33294]"
35,36,"[1252, 1262, 904, 1234, 4220, 2359, 1358, 1094, 4085, 1485]"
36,37,"[590, 292, 1, 33421, 33294, 33188, 33171, 33166, 33164, 33162]"
37,38,"[356, 457, 593, 17, 21, 161, 163, 590, 480, 508]"
38,39,"[1200, 1210, 593, 1213, 296, 1276, 1196, 1214, 364, 47]"
39,40,"[306, 199, 296, 588, 515, 17, 590, 62, 163, 509]"
40,41,"[85774, 4973, 1219, 6874, 1208, 2160, 50, 2692, 106918, 68157]"
41,42,"[1213, 1089, 1245, 2028, 1468, 2804, 457, 4067, 2918, 3100]"
42,43,"[590, 362, 595, 1356, 539, 648, 34, 165, 596, 377]"
43,44,"[1429, 648, 661, 3, 33158, 33421, 33310, 33294, 33188, 33171]"
44,45,"[3549, 593, 2959, 3972, 356, 1242, 296, 110, 2804, 364]"
45,46,"[593, 111, 457, 595, 349, 165, 592, 39, 339, 266]"
46,47,"[1203, 140715, 318, 117881, 590, 106100, 53894, 55247, 84152, 30749]"
47,48,"[780, 1625, 2617, 48, 172, 3623, 168, 1, 33162, 33294]"
48,49,"[527, 356, 110, 47099, 1097, 33004, 33162, 33310, 32728, 33294]"
49,50,"[7748, 3022, 58559, 4399, 923, 1252, 112552, 1136, 97304, 914]"
50,51,"[1201, 965, 260, 1249, 1200, 1267, 6786, 1304, 2159, 3949]"
51,52,"[48516, 1704, 55363, 1210, 58559, 69481, 7438, 112175, 55118, 74458]"
52,53,"[1982, 1441, 413, 1, 33162, 33421, 33310, 33294, 33188, 33171]"
53,54,"[296, 47, 194, 593, 377, 480, 410, 33164, 33421, 33310]"
54,55,"[33166, 2580, 2427, 2278, 3101, 2100, 673, 186, 33437, 33421]"
55,56,"[593, 110, 457, 480, 316, 367, 317, 786, 153, 160]"
56,57,"[720, 1250, 2788, 1252, 2300, 1242, 1197, 1303, 1210, 1270]"
57,58,"[50, 280, 161, 337, 362, 62, 648, 440, 368, 353]"
58,59,"[6460, 527, 858, 750, 1252, 1221, 111, 110, 1247, 928]"
59,60,"[1242, 783, 48, 1, 33154, 33294, 33188, 33171, 33166, 33164]"
60,61,"[4993, 1208, 5952, 16, 7438, 1258, 33437, 33421, 33310, 33294]"
61,62,"[74228, 48516, 858, 593, 260, 3949, 1198, 2959, 79132, 122912]"
62,63,"[1945, 1208, 912, 1148, 7132, 48516, 2959, 1222, 608, 1198]"
63,64,"[5026, 1221, 593, 1148, 1276, 4993, 2542, 608, 7153, 1228]"
64,65,"[527, 2959, 1246, 44191, 64614, 97752, 32728, 33158, 32666, 33294]"
65,66,"[5747, 1201, 2959, 1203, 7153, 1252, 3037, 922, 2571, 1213]"
66,67,"[293, 4306, 589, 152081, 27193, 1580, 8604, 33138, 33085, 32906]"
67,68,"[6193, 48342, 3653, 26712, 2571, 527, 318, 53129, 1221, 1213]"
68,69,"[593, 1193, 3863, 4643, 1, 33162, 33310, 33294, 33188, 33171]"
69,70,"[1272, 1704, 3468, 1172, 3147, 1955, 1288, 63082, 1097, 1269]"
70,71,"[62, 260, 733, 736, 837, 95, 707, 160, 33164, 33421]"
71,72,"[296, 858, 527, 2329, 47, 356, 2427, 165, 1, 33171]"
72,73,"[50685, 58559, 72226, 103141, 80463, 6377, 109374, 112852, 96821, 924]"
73,74,"[5867, 3201, 6666, 1221, 56782, 1206, 1219, 1212, 3730, 608]"
74,75,"[7153, 1196, 5008, 1266, 1198, 47, 2078, 2467, 1199, 589]"
75,76,"[296, 1221, 2959, 68157, 1214, 57669, 80463, 77455, 99114, 1220]"
76,77,"[1198, 2571, 4226, 7438, 8961, 6539, 5989, 33794, 32898, 33162]"
77,78,"[2571, 1, 59315, 3868, 165, 3809, 6537, 3087, 1552, 5400]"
78,79,"[1242, 1221, 1222, 1215, 1387, 1261, 1954, 1210, 1240, 260]"
