,userId,recommended_movies
0,1,"[260, 1210, 1196, 2641, 1198, 2094, 1270, 2628, 1214, 2193]"
1,2,"[79132, 74458, 131724, 109487, 99114, 318, 91529, 48516, 106782, 112552]"
2,3,"[5181, 5764, 7899, 6835, 5746, 26409, 70946, 7991, 4518, 3024]"
3,4,"[1288, 2396, 608, 800, 1719, 1617, 2336, 910, 926, 509]"
4,5,"[590, 296, 318, 356, 457, 110, 150, 593, 592, 480]"
5,6,"[434, 349, 225, 95, 592, 153, 292, 339, 160, 329]"
6,7,"[5952, 4306, 4993, 6539, 2571, 5349, 7153, 8636, 8961, 356]"
7,8,"[592, 153, 590, 150, 595, 588, 380, 344, 161, 292]"
8,9,"[5962, 6044, 5890, 5891, 1987, 5988, 5843, 6001, 5965, 627]"
9,10,"[8533, 6155, 6942, 81845, 80549, 56367, 84374, 88810, 49286, 56949]"
10,11,"[110, 318, 589, 457, 1210, 480, 165, 260, 780, 50]"
11,12,"[597, 277, 261, 2572, 539, 2485, 356, 34, 1721, 222]"
12,13,"[3897, 3753, 318, 3624, 3717, 3952, 3863, 3409, 1721, 2959]"
13,14,"[592, 590, 150, 161, 457, 434, 292, 153, 300, 349]"
14,15,"[318, 2571, 356, 59315, 79132, 260, 1196, 58559, 110, 7153]"
15,16,"[2571, 2858, 318, 2959, 1198, 904, 356, 527, 1197, 858]"
16,17,"[318, 260, 2571, 858, 1198, 2959, 50, 356, 296, 1213]"
17,18,"[318, 2571, 59315, 79132, 4993, 7153, 5952, 589, 50, 110]"
18,19,"[1373, 785, 65, 2094, 3269, 2193, 329, 1073, 3175, 849]"
19,20,"[3623, 4025, 3948, 3751, 4270, 3114, 3753, 3882, 2355, 4299]"
20,21,"[59315, 260, 111759, 72998, 112852, 1210, 122892, 89745, 95510, 2571]"
21,22,"[4226, 2959, 4878, 4993, 4973, 7153, 3949, 7361, 2571, 5952]"
22,23,"[1617, 1208, 541, 1199, 1222, 2579, 1089, 111, 924, 750]"
23,24,"[318, 356, 2571, 4993, 260, 2959, 58559, 5952, 7153, 79132]"
24,25,"[122916, 318, 79132, 177593, 2571, 7153, 122912, 187541, 59315, 5952]"
25,26,"[592, 457, 590, 150, 434, 110, 153, 165, 349, 161]"
26,27,"[260, 2406, 2150, 34, 1197, 1, 1035, 1907, 1210, 1196]"
27,28,"[61167, 1617, 1213, 50, 48516, 8798, 1089, 6, 4226, 318]"
28,29,"[2571, 318, 924, 50, 1196, 1214, 1213, 1198, 1617, 527]"
29,30,"[79132, 318, 2571, 59315, 109487, 260, 7153, 356, 4993, 60069]"
30,31,"[1, 260, 141, 780, 7, 736, 17, 1073, 788, 356]"
31,32,"[95, 141, 7, 736, 786, 25, 1, 36, 780, 32]"
32,33,"[17, 2396, 25, 509, 1357, 36, 2272, 11, 497, 457]"
33,34,"[5349, 1527, 2571, 5952, 6539, 6333, 4993, 4226, 31184, 3996]"
34,35,"[590, 595, 592, 150, 457, 588, 153, 300, 434, 349]"
35,36,"[2302, 1396, 548, 1376, 1597, 6662, 318, 3861, 1372, 1234]"
36,37,"[356, 110, 150, 590, 318, 480, 457, 296, 592, 344]"
37,38,"[592, 153, 150, 590, 595, 434, 161, 588, 380, 457]"
38,39,"[260, 1198, 2571, 318, 1210, 1196, 858, 1197, 356, 1136]"
39,40,"[592, 349, 590, 434, 292, 153, 457, 380, 161, 253]"
40,41,"[356, 2959, 79132, 318, 593, 3949, 4226, 7361, 4973, 2571]"
41,42,"[1614, 597, 480, 2706, 457, 543, 587, 785, 1573, 2002]"
42,43,"[153, 344, 592, 349, 588, 590, 595, 434, 380, 339]"
43,44,"[95, 786, 736, 135, 733, 805, 141, 780, 1356, 653]"
44,45,"[1210, 2706, 260, 2355, 1, 2683, 318, 34, 356, 588]"
45,46,"[592, 153, 434, 349, 590, 161, 292, 380, 457, 165]"
46,47,"[68932, 96567, 69712, 356, 391, 82767, 101525, 318, 296, 150]"
47,48,"[260, 2571, 1210, 318, 3793, 5952, 6333, 4993, 5349, 1196]"
48,49,"[318, 2571, 356, 4993, 7153, 5952, 260, 59315, 79132, 527]"
49,50,"[111732, 115203, 142074, 175743, 171759, 179073, 136564, 114335, 92046, 142602]"
50,51,"[1127, 1214, 2470, 1676, 2985, 1967, 2746, 1371, 2011, 2641]"
51,52,"[58559, 79132, 4993, 59315, 7153, 5952, 2571, 2959, 6874, 49272]"
52,53,"[1100, 1441, 481, 4019, 1049, 1256, 2616, 1125, 880, 1298]"
53,54,"[457, 150, 110, 590, 592, 434, 296, 292, 165, 356]"
54,55,"[2571, 318, 3101, 2763, 2028, 1196, 2762, 2278, 1213, 2959]"
55,56,"[434, 592, 153, 349, 165, 292, 344, 380, 231, 457]"
56,57,"[260, 1210, 480, 457, 1196, 5060, 858, 1, 2406, 1617]"
57,58,"[592, 153, 590, 434, 349, 380, 150, 253, 292, 595]"
58,59,"[5060, 969, 2075, 913, 527, 541, 260, 1224, 1631, 318]"
59,60,"[318, 260, 1, 356, 783, 50, 527, 362, 858, 805]"
60,61,"[318, 296, 47, 32, 593, 50, 356, 2571, 589, 110]"
61,62,"[59315, 79132, 109487, 112852, 7153, 4993, 116797, 122904, 111759, 89745]"
62,63,"[2571, 318, 2959, 4993, 7153, 356, 5952, 79132, 1198, 4226]"
63,64,"[318, 356, 2571, 296, 4226, 47, 2959, 593, 858, 527]"
64,65,"[79132, 318, 2571, 58559, 7153, 356, 4993, 2959, 109487, 5952]"
65,66,"[260, 858, 780, 1265, 852, 1080, 1198, 2797, 2257, 1092]"
66,67,"[2571, 318, 7153, 5952, 2959, 4993, 260, 79132, 1198, 1210]"
67,68,"[356, 6539, 586, 1682, 4306, 597, 3948, 5989, 1721, 318]"
68,69,"[2571, 1198, 260, 1210, 1196, 858, 318, 2959, 2028, 924]"
69,70,"[318, 356, 2858, 953, 1193, 2571, 904, 527, 2762, 858]"
70,71,"[95, 780, 736, 1, 786, 733, 1356, 32, 260, 648]"
71,72,"[110, 2571, 318, 593, 527, 356, 50, 296, 2028, 1196]"
72,73,"[112852, 68954, 109487, 80549, 72998, 122892, 50872, 88163, 106782, 59315]"
73,74,"[5300, 48698, 8804, 31522, 44937, 5893, 4973, 6858, 2160, 307]"
74,75,"[2571, 260, 318, 1198, 589, 110, 1210, 1196, 858, 527]"
75,76,"[318, 356, 5952, 7153, 2571, 58559, 2959, 79132, 296, 260]"
76,77,"[2571, 4993, 5952, 7153, 318, 2959, 4306, 356, 4226, 260]"
