,userId,recommended_movies
0,1,"[1197, 2959, 1222, 1617, 923, 1198, 3740, 1219, 223, 608]"
1,2,"[318, 109487, 79132, 115713, 3578, 89774, 131724, 1, 33154, 33171]"
2,3,"[3703, 3210, 1093, 5181, 849, 2851, 72378, 33154, 33294, 33188]"
3,4,"[1219, 898, 1617, 912, 4226, 1304, 47, 2858, 1225, 1282]"
4,5,"[296, 34, 265, 364, 589, 232, 247, 36, 290, 534]"
5,6,"[475, 527, 356, 608, 362, 293, 516, 337, 36, 1084]"
6,7,"[750, 50, 260, 49272, 595, 2019, 2529, 1610, 480, 4896]"
7,8,"[296, 110, 11, 34, 253, 539, 592, 10, 282, 39]"
8,9,"[4993, 5902, 1674, 187, 6001, 5988, 1987, 5841, 5378, 5451]"
9,10,"[58559, 2571, 33794, 91529, 8961, 5377, 72011, 30749, 6377, 72998]"
10,11,"[356, 1784, 1923, 165, 1616, 1370, 1604, 1693, 1391, 1687]"
11,12,"[2572, 3668, 357, 40629, 2717, 2581, 32906, 33164, 33421, 32898]"
12,13,"[3996, 3300, 3952, 3798, 2145, 33154, 33188, 33171, 33166, 33164]"
13,14,"[318, 356, 296, 110, 337, 553, 539, 39, 150, 383]"
14,15,"[1210, 356, 2858, 2959, 858, 48780, 4886, 293, 50872, 64614]"
15,16,"[1276, 1704, 4993, 1252, 58559, 4973, 1198, 1196, 2858, 923]"
16,17,"[858, 4226, 2329, 58559, 5618, 50, 1206, 3508, 293, 910]"
17,18,"[2959, 527, 3275, 541, 1206, 1089, 78499, 148626, 4011, 50]"
18,19,"[260, 1278, 904, 1196, 293, 3740, 1198, 930, 2959, 356]"
19,20,"[3578, 2804, 4029, 914, 3972, 5991, 5293, 4846, 1073, 919]"
20,21,"[7153, 5816, 115149, 168252, 1196, 2959, 97913, 103335, 8360, 54286]"
21,22,"[1193, 318, 58559, 4993, 31410, 7153, 44191, 4848, 68157, 37741]"
22,23,"[1136, 1222, 1748, 1199, 296, 1252, 1203, 334, 2761, 541]"
23,24,"[1197, 4973, 318, 1704, 608, 38061, 91529, 27773, 1265, 79132]"
24,25,"[2571, 527, 7153, 60069, 91529, 5952, 116797, 74458, 122916, 231]"
25,26,"[593, 185, 225, 1, 33154, 33294, 33188, 33171, 33166, 33164]"
26,27,"[1222, 1148, 1270, 3508, 1200, 2529, 3451, 364, 260, 1247]"
27,28,"[1213, 1197, 1196, 318, 1240, 4226, 1089, 3147, 34405, 6539]"
28,29,"[858, 1617, 1262, 2028, 1272, 1198, 68237, 6502, 1209, 953]"
29,30,"[5952, 1200, 1036, 60069, 112852, 1240, 95510, 33154, 33294, 33188]"
30,31,"[1, 1278, 1196, 1231, 588, 733, 1361, 1393, 783, 605]"
31,32,"[318, 50, 1086, 1197, 6, 912, 1198, 1103, 337, 1356]"
32,33,"[608, 593, 1213, 50, 1653, 1210, 778, 2571, 1673, 1177]"
