,userId,recommended_movies
0,1,"[1215, 318, 2628, 2641, 3793, 1210, 260, 1198, 1196, 1127]"
1,2,"[79132, 2959, 74458, 68157, 109487, 91529, 99114, 106782, 116797, 48780]"
2,3,"[4518, 6238, 7899, 72378, 26409, 1198, 1371, 688, 5181, 5048]"
3,4,"[608, 3408, 4027, 17, 527, 1060, 1213, 1407, 357, 356]"
4,5,"[296, 367, 515, 356, 265, 17, 110, 350, 272, 593]"
5,6,"[434, 316, 589, 225, 201, 218, 32, 165, 48, 736]"
6,7,"[5378, 5349, 33493, 5502, 296, 5445, 8636, 1682, 5464, 150]"
7,8,"[592, 296, 350, 454, 153, 500, 266, 367, 595, 380]"
8,9,"[3298, 1987, 5890, 922, 5507, 6001, 3000, 2901, 5843, 6044]"
9,10,"[80549, 113394, 77841, 46578, 356, 68954, 4306, 70293, 595, 81845]"
10,11,"[511, 150, 780, 1597, 593, 552, 457, 110, 36, 480]"
11,12,"[597, 2581, 6942, 1357, 356, 1721, 186, 4246, 24, 838]"
12,13,"[3623, 3952, 1619, 3977, 3863, 1639, 3717, 3897, 3624, 3798]"
13,14,"[296, 350, 153, 595, 110, 509, 367, 592, 231, 590]"
14,15,"[356, 2571, 318, 58559, 79132, 91529, 3578, 589, 48780, 593]"
15,16,"[541, 858, 913, 1198, 608, 1203, 1193, 318, 1196, 2858]"
16,17,"[318, 2571, 260, 858, 608, 2762, 1200, 1210, 593, 1196]"
17,18,"[79132, 68157, 74458, 293, 89745, 2959, 91529, 110, 318, 44191]"
18,19,"[1373, 780, 2081, 2423, 3471, 2428, 849, 3793, 3264, 2723]"
19,20,"[4306, 2018, 34, 2085, 4366, 3916, 3977, 4161, 2617, 4270]"
20,21,"[318, 589, 296, 592, 364, 32, 58559, 1, 344, 149380]"
21,22,"[5418, 4963, 6711, 4226, 4034, 7361, 356, 4973, 4878, 296]"
22,23,"[7123, 541, 7587, 1233, 1199, 1208, 1089, 858, 1274, 2912]"
23,24,"[356, 318, 593, 150, 1196, 480, 457, 2571, 260, 32]"
24,25,"[58559, 1221, 2959, 318, 593, 122912, 91529, 527, 50, 122904]"
25,26,"[296, 349, 454, 316, 110, 350, 150, 367, 589, 592]"
26,27,"[260, 1210, 1907, 364, 858, 2762, 1, 2571, 2085, 1198]"
27,28,"[318, 7153, 1704, 1617, 1214, 1213, 2329, 50, 7009, 110]"
28,29,"[1222, 750, 858, 924, 1303, 1221, 1193, 2301, 79132, 1272]"
29,30,"[122904, 2571, 110, 109487, 58559, 293, 364, 79132, 480, 318]"
30,31,"[377, 25, 36, 7, 17, 32, 1393, 708, 165, 780]"
31,32,"[141, 780, 32, 25, 708, 6, 736, 784, 1, 608]"
32,33,"[1357, 296, 17, 527, 25, 318, 356, 515, 357, 1639]"
33,34,"[6373, 5481, 4306, 4886, 4370, 367, 3977, 3624, 6377, 2028]"
34,35,"[350, 266, 153, 595, 282, 587, 231, 592, 236, 48]"
35,36,"[1674, 1639, 552, 3623, 1222, 3270, 2194, 2376, 2006, 3347]"
36,37,"[593, 150, 480, 356, 457, 32, 316, 329, 344, 780]"
37,38,"[296, 597, 110, 150, 222, 367, 457, 593, 356, 316]"
38,39,"[1198, 50, 318, 1196, 2571, 608, 380, 5349, 1225, 260]"
39,40,"[434, 589, 32, 296, 454, 377, 364, 350, 165, 595]"
40,41,"[356, 79132, 296, 527, 593, 4973, 68157, 40819, 5952, 6539]"
41,42,"[2617, 2770, 296, 1210, 1, 457, 2268, 1485, 1584, 50]"
42,43,"[32, 434, 344, 316, 589, 454, 165, 48, 225, 432]"
43,44,"[1356, 1120, 780, 32, 94, 836, 135, 852, 494, 40]"
44,45,"[1, 356, 2987, 104, 1580, 733, 317, 1265, 2716, 780]"
45,46,"[592, 316, 589, 380, 153, 454, 110, 296, 32, 367]"
46,47,"[356, 597, 150, 500, 296, 593, 110, 1259, 72998, 527]"
47,48,"[260, 48, 780, 8636, 318, 5349, 32, 5445, 1210, 3793]"
48,49,"[2571, 110, 1198, 79132, 293, 318, 122920, 356, 457, 1036]"
49,50,"[7153, 79132, 60069, 318, 58559, 33794, 6934, 8961, 1198, 356]"
50,51,"[1259, 4128, 317, 2683, 1479, 2613, 2133, 1994, 47, 1876]"
51,52,"[79132, 59784, 91529, 68954, 109487, 57528, 60684, 71535, 51255, 109374]"
52,53,"[2616, 1049, 1441, 922, 2145, 1027, 1982, 3911, 4214, 1674]"
53,54,"[593, 150, 480, 356, 296, 110, 457, 349, 165, 590]"
54,55,"[33166, 2881, 3101, 356, 2840, 2407, 2353, 2581, 54286, 186]"
55,56,"[316, 589, 592, 225, 185, 160, 344, 349, 380, 292]"
56,57,"[1210, 296, 356, 527, 1, 780, 590, 593, 2762, 318]"
57,58,"[296, 316, 165, 150, 367, 592, 434, 344, 32, 589]"
58,59,"[1361, 1234, 1252, 3101, 1696, 906, 3230, 2944, 2427, 1233]"
59,60,"[2067, 318, 362, 1, 2805, 60, 2571, 260, 783, 1234]"
60,61,"[318, 16, 1258, 5952, 293, 6870, 4011, 4993, 1080, 4878]"
61,62,"[79132, 58559, 7153, 116797, 89745, 109487, 74458, 91529, 7438, 106782]"
62,63,"[2571, 318, 7153, 2959, 4993, 4226, 58559, 4886, 4306, 356]"
63,64,"[318, 593, 1213, 1704, 1210, 2959, 2762, 780, 356, 2716]"
64,65,"[74458, 79132, 2959, 1221, 68157, 593, 318, 91529, 58559, 527]"
65,66,"[1387, 3911, 1625, 318, 1617, 2257, 2420, 1438, 1485, 1407]"
66,67,"[318, 1, 293, 58559, 7153, 2959, 589, 260, 4886, 2858]"
67,68,"[1, 2959, 58559, 318, 1517, 780, 1704, 3578, 356, 5349]"
68,69,"[2762, 1721, 1210, 1374, 4880, 924, 4876, 5952, 480, 593]"
69,70,"[3152, 2918, 3468, 908, 356, 1968, 3255, 1230, 1172, 1704]"
